tSNE1	tSNE2	Type	Embryo	APcluster	Merge_Type	APcluster_Merge
HE24W_EVT_sc1	11.2250535306355	-24.1074900406301	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc10	11.2566592133271	-22.9029698752237	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc100	10.4292134306503	-30.8899264788127	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc101	11.4083330560436	-31.1064429294997	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc102	10.6206284209989	-32.8649916131567	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc103	10.3869560218451	-31.9546471516514	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc104	13.367108628322	-30.3087873108828	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc105	3.7039311623637	-32.1254409592812	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc106	10.8257501738872	-32.6361090108355	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc107	5.97404128724907	-29.8664649730265	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc108	9.27234227383032	-33.428980973892	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc109	2.77486055517658	-32.5583291467678	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc11	14.6215359381591	-23.3341920693501	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc110	5.38200985721388	-28.3694596341915	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc111	4.38920662519662	-32.9319233648152	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc112	2.72352086389614	-28.0982395728612	HE24W_EVT	E5	11	EVT_8W	11
HE24W_EVT_sc113	12.9800309944992	-30.7544851921701	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc114	5.90132570139444	-31.0860240914208	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc115	9.70430953454123	-32.4407468757791	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc116	9.21896322060464	-33.0130111837258	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc117	12.7818435103912	-30.9482025316934	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc118	2.79753409076192	-29.1784081591007	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc119	5.28480970455249	-32.8127208514839	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc12	12.0125700981132	-25.0378260868759	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc121	3.54782589339351	-29.2635530886455	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc122	4.29480906541312	-32.3715205818541	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc123	5.85529079482507	-32.5442722575977	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc124	7.31343421768224	-30.3550824703447	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc125	4.80780616850296	-32.3659700642487	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc126	14.4850137650527	-27.9915216121601	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc127	3.42952375340132	-31.6167816586521	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc128	6.88878155643664	-30.8959091805823	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc129	3.62951441394031	-30.63800350214	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc13	13.6819815561821	-28.9206523081514	HE24W_EVT	E5	2	EVT_24W	2
HE24W_EVT_sc130	9.65083041430407	-32.3892223071321	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc131	2.94944645177022	-32.9470183270652	HE24W_EVT	E5	1	EVT_24W	1
HE24W_EVT_sc132	1.44718056380011	-29.3760781668867	HE24W_EVT	E5	11	EVT_8W	11
HE24W_EVT_sc133	8.76743978607151	-31.5772905900851	HE24W_EVT	E5	1	EVT_24W	1
